,Sample,FileName,Wavelength,Intensity,Normalized
12,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,521,292563199,0.32938721941687155
13,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,530,179378661,0.20195649545625735
14,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,539,152454659,0.17164365301856482
15,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,548,319426477,0.3596316947134464
16,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,557,160564817,0.18077461139536155
17,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,566,162713950,0.18319424908542878
18,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,575,87226459,0.09820538224833175
19,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,584,130114485,0.14649159076226892
20,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,593,128183910,0.14431802028826773
21,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,602,196508054,0.22124191190594836
22,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,610,354477488,0.39909446751092387
23,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,619,888204465,1.0
24,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,628,630632410,0.7100081511074142
25,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,637,337619840,0.38011499975965557
26,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,646,275655494,0.3103513941466169
27,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,655,385123257,0.43359752419168485
28,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,664,297716350,0.335188981514521
29,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,673,229739883,0.25865652792006627
30,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,682,152446175,0.17163410116385758
31,CPX,CPX500uMPBS_6p_42fov_740ex_410_695nm_9step_63xO.lsm,691,248935205,0.28026790543098656
0,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,415,183438910,0.14823648030174688
1,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,424,324046662,0.2618612192386546
2,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,432,525960539,0.4250272697268517
3,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,441,768622427,0.6211216761998116
4,PVD,PVD500uM_1p_66fov_740ex_410_695nm_9step_40xW.lsm,450,1036679056,0.8377375032591371
